fips,place,2010 CENSUS,2000 CENSUS,1990 CENSUS,1980 CENSUS,1970 CENSUS,1960 CENSUS,1950 CENSUS,1940 CENSUS,1930 CENSUS,1920 CENSUS,1910 CENSUS,1900 CENSUS,1890 CENSUS
32575,GRASS RANGE,110,149,159,139,181,222,234,206,212,262,,,
32800,GREAT FALLS,58505,56690,55125,56884,60091,55244,39214,29928,28822,24121,13948,14930,3979
33775,HAMILTON,4348,3705,2737,2661,2499,2475,2678,2332,1839,1700,2240,1257,
34225,HARDIN,3505,3384,2940,3300,2733,2789,2306,1886,1169,1312,,,
34375,HARLEM,808,848,882,1023,1094,1267,1107,1166,708,721,383,,
34450,HARLOWTON,997,1062,1049,1181,1375,1734,1733,1547,1473,1856,770,,
35050,HAVRE,9310,9621,10201,10891,10558,10740,8086,6427,6372,5429,3624,1033,
35600,HELENA,28190,25780,24609,23938,22730,20227,17581,15056,11803,12037,12515,10770,13834
36400,HINGHAM,118,157,181,186,262,254,214,205,251,154,,,
36700,HOBSON,215,244,226,261,192,207,205,239,240,,,,
37825,HOT SPRINGS,544,531,411,601,664,585,733,663,447,,,,
38350,HYSHAM,312,330,361,449,373,494,410,392,258,360,,,
38950,ISMAY,19,26,19,31,40,59,182,176,277,344,,,
39700,JOLIET,595,575,522,580,412,452,410,476,359,440,389,,
39925,JORDAN,343,364,494,485,529,557,,,,,,,
40000,JUDITH GAP,126,164,133,213,160,185,175,212,288,522,,,
40075,KALISPELL,19927,14223,11917,10689,10526,10151,9737,8245,6094,5147,5549,2526,
40525,KEVIN,154,178,185,208,250,375,0.351,360,324,,,,
42700,LAUREL,6718,6255,5686,5498,4454,4601,3663,2754,2558,2239,806,,
42850,LAVINA,187,209,151,164,169,212,195,199,148,,,,
43375,LEWISTOWN,5901,5813,6097,7104,6437,7408,6573,5874,5358,6120,2992,1096,
43450,LIBBY,2628,2626,2532,2748,3286,2828,2401,1837,1752,1522,630,,
43525,LIMA,221,242,265,272,351,397,483,554,459,476,,,
